analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
RENOVISOR,matrix_32_ext_0_1,KM5,EFA2,33.333333333333336,12,8,4,33.333333333333336,50,25,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_25_agreement
RENOVISOR,matrix_32_ext_0_1,KM6,EFA5,37.5,8,8,3,37.5,37.5,23.076923076923077,det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns
RENOVISOR,matrix_32_z_abs,KM1,EFA4,87.5,8,8,7,87.5,87.5,77.77777777777777,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
RENOVISOR,matrix_32_z_abs,KM2,EFA6,75,8,8,6,75,75,60,det_04_added_value; det_06_climate_protection; det_07_legal; det_14_environmental_concerns; det_17_adherence; det_23_support
RENOVISOR,matrix_32_z_abs,KM3,EFA2,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_02_credit_score; det_07_legal; det_08_trust; det_09_safety; det_17_adherence
RENOVISOR,matrix_32_z_abs,KM4,EFA5,57.142857142857146,14,8,8,57.142857142857146,100,57.142857142857146,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_17_adherence; det_21_rights_and_duties; det_27_fun
RENOVISOR,matrix_32_z_abs,KM5,EFA1,50,8,8,4,50,50,33.333333333333336,det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_21_rights_and_duties
RENOVISOR,matrix_32_z_abs,KM6,EFA3,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_18_autonomy; det_25_agreement; det_26_novelty; det_27_fun; det_32_own_significance
WHY_EUROPE,matrix_32_raw_0_1,KM1,EFA3,30.76923076923077,13,8,4,30.76923076923077,50,23.529411764705884,det_09_safety; det_15_self_satisfaction; det_16_commitment; det_19_wellbeing
WHY_EUROPE,matrix_32_raw_0_1,KM2,EFA1,62.5,8,8,5,62.5,62.5,45.45454545454545,det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
WHY_EUROPE,matrix_32_raw_0_1,KM3,EFA4,62.5,8,8,5,62.5,62.5,45.45454545454545,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_17_adherence
