analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,7,85.61255952380947,53.05624999999623,32.55630952381323
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,8,86.65553571428569,54.85770833332944,31.79782738095625
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,1,38.94598214285953,18.39660714285536,20.54937500000417
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,2,71.92047619047905,35.86309523809153,36.05738095238752
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,3,88.09913690476519,51.29550595237637,36.80363095238882
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,4,89.51964285714618,57.6911607142806,31.82848214286558
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,5,90.45898809524144,60.31708333332802,30.141904761913416
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,6,90.94029761905098,63.34461309523256,27.59568452381842
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,7,91.78523809524148,66.04830357142284,25.736934523818647
WHY_EUROPE,EXT,matrix_32_ext_0_1,9,8,92.9125892857177,66.3198809523752,26.5927083333425
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,1,46.905029761907905,20.34449404761717,26.560535714290733
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,2,82.2784523809568,41.83619047618613,40.44226190477066
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,3,90.62494047619508,61.47877976189813,29.146160714296947
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,4,94.49526785714755,69.61386904761176,24.881398809535796
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,5,95.80068452381428,72.25818452380204,23.54250000001224
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,6,96.13752976190952,73.28095238094483,22.856577380964694
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,7,96.4641964285762,74.50624999999236,21.95794642858384
WHY_EUROPE,EXT,matrix_32_ext_0_1,10,8,97.15508928571906,78.592261904754,18.56282738096506
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,1,0.14086309523808616,0.05482142857142259,0.08604166666666357
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,2,0.2817261904761723,0.08318452380951473,0.19854166666665757
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,3,0.4134226190475924,0.11029761904760704,0.3031249999999854
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,4,0.5384226190475844,0.1348809523809377,0.4035416666666467
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,5,0.6634226190475763,0.15946428571426832,0.503958333333308
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,6,0.7884226190475682,0.18345238095236097,0.6049702380952072
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,7,0.91342261904756,0.20699404761902507,0.7064285714285349
WHY_EUROPE,Z_ABS,matrix_32_z_abs,0,8,1.0384226190475518,0.23014880952378444,0.8082738095237674
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,1,0.42258928571425847,0.16636904761902951,0.256220238095229
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,2,0.6859821428570986,0.23434523809521257,0.451636904761886
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,3,0.9359821428570826,0.34360119047615306,0.5923809523809296
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,4,1.0609821428570745,0.4488392857142368,0.6121428571428377
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,5,1.1649107142856392,0.5208035714285147,0.6441071428571244
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,6,1.268839285714204,0.567886904761843,0.7009523809523609
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,7,1.3727678571427688,0.646130952380882,0.7266369047618868
WHY_EUROPE,Z_ABS,matrix_32_z_abs,1,8,1.476696428571333,0.7001190476189714,0.7765773809523617
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,1,0.5634523809523446,0.6746726190475457,-0.1112202380952011
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,2,0.9647916666666044,0.8735119047618098,0.09127976190479459
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,3,1.0964880952380245,1.0667559523808363,0.02973214285718817
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,4,1.2523809523808715,1.3016964285712869,-0.04931547619041532
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,5,1.4082738095237186,1.4038988095236566,0.004375000000061968
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,6,1.512202380952283,1.539434523809356,-0.027232142857072983
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,7,1.655595238095131,1.626845238095061,0.028750000000069997
WHY_EUROPE,Z_ABS,matrix_32_z_abs,2,8,1.7918452380951226,1.731755952380764,0.060089285714358676
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,1,0.7074404761904305,1.306934523809383,-0.5994940476189525
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,2,1.121726190476118,1.6756249999998187,-0.5538988095237007
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,3,1.3295833333332474,2.1022023809521526,-0.7726190476189052
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,4,1.5374404761903768,2.6170833333330488,-1.079642857142672
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,5,1.7327976190475072,2.7593452380949386,-1.0265476190474314
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,6,1.9422916666665413,3.03797619047586,-1.0956845238093187
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,7,2.086696428571294,3.2449702380948855,-1.1582738095235916
WHY_EUROPE,Z_ABS,matrix_32_z_abs,3,8,2.2983035714284235,3.3496726190472548,-1.0513690476188313
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,1,0.8862797619047049,2.806011904761607,-1.9197321428569019
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,2,1.2233630952380166,3.639136904761516,-2.4157738095234995
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,3,1.563124999999899,4.409940476190003,-2.8468154761901037
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,4,1.7190178571427464,4.601815476189983,-2.8827976190472366
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,5,2.035624999999869,4.779285714285201,-2.7436607142853324
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,6,2.397499999999845,5.175178571428015,-2.77767857142817
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,7,2.529017857142694,5.539196428570833,-3.010178571428139
WHY_EUROPE,Z_ABS,matrix_32_z_abs,4,8,2.903214285714098,6.125714285713626,-3.2224999999995285
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,1,1.1724107142856397,4.572589285713746,-3.400178571428106
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,2,1.4886011904760954,6.381071428570693,-4.892470238094598
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,3,1.99636904761892,6.701607142856372,-4.705238095237452
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,4,2.103422619047484,7.098482142856329,-4.995059523808845
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,5,2.557470238095074,7.828392857141964,-5.27092261904689
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,6,3.107142857142658,8.492886904760939,-5.385744047618281
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,7,3.68886904761881,8.639315476189493,-4.950446428570682
WHY_EUROPE,Z_ABS,matrix_32_z_abs,5,8,3.8388690476188008,9.48476190476083,-5.64589285714203
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,1,1.6515476190475138,6.994553571427694,-5.343005952380181
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,2,2.5685416666665035,10.141785714284504,-7.573244047618001
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,3,2.6334523809522135,11.08363095237964,-8.450178571427426
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,4,3.6468452380950063,11.86184523809384,-8.214999999998835
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,5,4.760892857142554,13.264880952379404,-8.50398809523685
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,6,5.821339285713914,14.628422619045924,-8.80708333333201
WHY_EUROPE,Z_ABS,matrix_32_z_abs,6,7,5.9628273809520005,15.502529761902972,-9.53970238095097
